City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
Yellowknife,90,CA,1638334538,83,62.456,-114.3525,-12.59,4.0
Rikitea,0,PF,1638334538,76,-23.1203,-134.9692,76.41,20.69
Bluff,9,NZ,1638334539,74,-46.6,168.3333,68.81,18.41
Saint-Philippe,88,RE,1638334539,74,-21.3585,55.7679,81.95,8.21
East London,75,ZA,1638334347,94,-33.0153,27.9116,63.54,3.44
Ushuaia,40,AR,1638334500,47,-54.8,-68.3,53.26,14.97
Thinadhoo,88,MV,1638334540,74,0.5333,72.9333,82.27,7.38
Draguignan,5,FR,1638334540,70,43.5333,6.4667,47.86,8.05
Cape Town,0,ZA,1638334514,79,-33.9258,18.4232,64.11,5.75
Marsá Maţrūḩ,99,EG,1638334540,63,31.3525,27.2453,63.46,18.48
Salalah,0,OM,1638334541,31,17.0151,54.0924,77.72,11.25
Skjervøy,36,NO,1638334541,65,70.0311,20.9714,25.21,15.59
San Andrés,40,CO,1638334541,83,12.5847,-81.7006,82.42,17.27
Vaini,40,TO,1638334542,89,-21.2,-175.2,80.76,9.22
Hobart,75,AU,1638334542,60,-42.8794,147.3294,73.26,19.57
Hilo,90,US,1638334295,89,19.7297,-155.09,72.81,9.22
Haverfordwest,74,GB,1638334362,80,51.8017,-4.9691,49.15,10.0
Punta Arenas,90,CL,1638334315,62,-53.15,-70.9167,51.91,8.05
Port Alfred,93,ZA,1638334543,75,-33.5906,26.891,67.69,13.6
Pevek,100,RU,1638334543,100,69.7008,170.3133,-12.06,1.19
Coyhaique,0,CL,1638334518,66,-45.5752,-72.0662,49.95,2.3
Hermanus,17,ZA,1638334451,80,-34.4187,19.2345,62.8,7.18
Katsuura,70,JP,1638334543,51,35.1333,140.3,68.14,35.14
Busselton,62,AU,1638334544,44,-33.65,115.3333,71.04,15.7
Kapaa,30,US,1638334544,76,22.0752,-159.319,76.12,3.0
Dzaoudzi,75,YT,1638334544,74,-12.7887,45.2699,82.29,11.5
Durban,64,ZA,1638334530,82,-29.8579,31.0292,71.02,3.0
Cabo San Lucas,95,MX,1638334545,73,22.8909,-109.9124,77.5,4.7
Dikson,100,RU,1638334545,100,73.5069,80.5464,-18.36,9.13
Rzhaksa,100,RU,1638334545,80,52.1338,42.0264,30.33,8.14
Chokurdakh,100,RU,1638334546,99,70.6333,147.9167,-16.04,6.22
Kabare,100,CD,1638334546,91,-2.4683,28.8242,63.72,1.3
